color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,review,sentiment
Color,Marc Forster,403.0,106.0,395.0,393.0,Mathieu Amalric,451.0,168368427.0,Action|Adventure,Giancarlo Giannini,Quantum of Solace ,330784,2023,Rory Kinnear,1.0,action hero|attempted rape|bond girl|official james bond series|revenge,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243.0,English,UK,PG-13,200000000.0,2008.0,412.0,6.7,2.35,0,"This is one of the funniest movies i've ever seen. I rented it as a joke, expecting to get a giggle out of the first few scenes, and let me just say I've never laughed so hard in my life. The first scene where ninjas randomly pop out of the air and start a huge and ridiculous fire fight is one of the most incredibly funny stupid action movie moments of my life. This is not a dinosaur movie, but more a movie that makes fun (and doesn't mean to at all) of the action genre. I didn't see the first two, but judging by the complexity of the plot, I don't think there's to much I missed. If you wanna see a movie that goes great with a six pack or any herbal remedy, than I insist you rent this movie and sit back and watch a 100 years of advancement in cinema get thrown in the trash and get shat on by carnosours",negative
Color,Gore Verbinski,313.0,151.0,563.0,1000.0,Orlando Bloom,40000.0,423032628.0,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,Jack Davenport,2.0,box office hit|giant squid|heart|liar's dice|monster,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832.0,English,USA,PG-13,225000000.0,2006.0,5000.0,7.3,2.35,5000,"IN COLD BLOOD has to be ranked as first-rate movie-making, even if the subject matter is about as grim as it gets in the world of make-believe, but film noir fans should definitely find this one a gripping piece of work, based as it is on a true-life crime spree.<br /><br />It opens with Quincy Jones' music under the credits and starkly dramatic views of a highway bus heading toward Kansas City, effectively setting the mood of the film even before the credits end. The B&W photography of Conrad Hall does a superb job right from the start.<br /><br />Also clear from the start: ROBERT BLAKE and SCOTT Wilson are natural born actors. They do a great job of portraying free spirited buddies looking for the next thrill. ""Ever see a millionaire fry in the electric hair? Hell no. There are two kinds of rules in this world. One for the rich and one for the poor,"" says Wilson, taking a swig of alcohol behind the wheel.<br /><br />Both are destined to cross the path of a farm family, showing no mercy and leaving no witnesses behind.<br /><br />Blake, reminiscing about movies, and thinking of hunting for gold in Mexico, says: ""Remember Bogart in 'Treasure of the Sierra Madre'?"" (An ironic moment, because Blake himself was in the film as a little boy selling lottery tickets). ""I got you pegged for a natural born killer,"" Wilson tells Blake.<br /><br />JOHN FORSYTHE is one of the lead detectives on the case, discovering that all four family members were tied up, shot in the head and one had his throat cut. ""Don't people around here lock doors?"" asks PAUL STEWART. ""They will tonight,"" is the terse reply.<br /><br />After the murders, the killers discover that there was ""no big fat safe in the wall"", like their prison informant told them. So, in the end, it was truly a stupid, senseless crime. The question is: WHY did they do it? And this is something the second half of the film explores in depth. It takes an hour and a half into the movie before the detectives catch up with the killers and begin the interrogation.<br /><br />It's these final scenes that carry the most conviction and the most interest as the boys are told they've made numerous mistakes and left a living witness. The actual events up to and including the murder are saved until the end. ""It makes no sense,"" Blake tells Forsythe. ""Mr. Cutter was a very nice gentleman. I thought so right up until the time I cut his throat."" The screenplay by Richard Brooks is concise and to the point--and so is his direction.<br /><br />Summing up: Brilliant depiction of two aimless young men on a crime spree that made no sense then or now for a mere $43. Chilling.",positive
Color,Gore Verbinski,450.0,150.0,563.0,1000.0,Ruth Wilson,40000.0,89289910.0,Action|Adventure|Western,Johnny Depp,The Lone Ranger ,181792,45757,Tom Wilkinson,1.0,horse|outlaw|texas|texas ranger|train,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711.0,English,USA,PG-13,215000000.0,2013.0,2000.0,6.5,2.35,48000,"I could name plenty of funny movies. There are comedies that set out to be funny, and are. Some movies, like a Gymkata for example, try to be serious but end up funny. The Ladies Man is a film that is desperately trying to be funny, but could not be less funny if it was about a guy who got a lot of chicks in the middle of the wreckage of a nuclear holocaust. It's anti-funny.<br /><br />I don't think I laughed harder than a chuckle at anything in this movie. It's simply unfunny. It's boring, stupid, inane, annoying, mind-bogglingly bad, but not funny. I don't particularly care for Tim Meadows, or this character from SNL, but I expected better than this.<br /><br />The movie is completely lacking logic or common sense. It's like the script writer had a bag over his head while he was typing and he couldn't see which keys he was hitting. They tell the ""origin"" of the Ladies Man, but fail to include a motivation for his bizarre fascination with acting like it's still the seventies. The movie tries to get humor out of a man who appears to pleasuring himself to porn, shortly after he tried to hang himself. This is comedy? I like to consider myself having a pretty keen sense of humor (Spending a lot of time writing comedy as I do), but maybe I'm just not quite bright enough for this film.<br /><br />Lee Evans, so funny as Tucker in There's Something About Mary, is outrageously bad here. I was pleading with him in my head to shut up.<br /><br />By the end I was pounding on my chair, muttering under my breath, and had the film gone on any longer, would probably have attempted suicide. This film might not be as bad as Battlefield Earth, but it's the first movie I've seen that's come close.<br /><br />",negative
Color,Zack Snyder,733.0,143.0,0.0,748.0,Christopher Meloni,15000.0,291021565.0,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,Man of Steel ,548573,20495,Harry Lennix,0.0,based on comic book|british actor playing american character|final battle|origin of hero|reboot,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536.0,English,USA,PG-13,225000000.0,2013.0,3000.0,7.2,2.35,118000,"As a reviewer has already commented, this made for tv comedy is up there amongst the best football parodies ever. But....having failed to video it when it was first aired, I now find that it isn't around in any format. OK, so this has only polled 17 votes to date, but a 9+ average does seem to suggest something special. Basically, I suppose it's a case of tough luck if you missed it 'cos it's no longer available to view !! Aaaaaaaargh.",positive
Color,Andrew Adamson,258.0,150.0,80.0,201.0,Pierfrancesco Favino,22000.0,141614023.0,Action|Adventure|Family|Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922,22697,Damián Alcázar,4.0,brother brother relationship|brother sister relationship|good versus evil|king|narnia,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438.0,English,USA,PG,225000000.0,2008.0,216.0,6.6,2.35,0,"OK this movie was made for one reason and one reason only TO MAKE MONEY!!The producers obviously didn't care about killing a classic horror movie. I knew this movie would suck as soon as it was going to be a pg-13 how many pg-13 slashers movies have turned out to be good? Thats like asking how many women have been on the moon? The answer is NONE!! Prom night 1980 was of cource no masterpiece but it certainly deserves to be recognised as a movie that stays true to its genre and deosnt try to be anything more than that.<br /><br />My problem with Prom night 2008 is the way that it handles the killer and i have 3 major problems with him.....................<br /><br />1)The way he escapes, he was locked up in a mental institute and he escapes through a air conditioning vent!! WHAT THE HELL? why would they have an air conditioning vent in the patients room? Do they want him to be comfortable during his stay or something? 2)His intentions are somewhat uncertain the killer want all of the main victims family and friends dead so he can have her all to his self, he says he loves her but the next minute he trys to kill her, so does he want to kill her, love her or just plain rape her?? 3) The killer is too good, how did he develop all of his skills? He used to be a teacher, so in this one scene where he kills the main victims boyfriend while hes basically on top of her asleep and she doesn't notice, it all silly 2 stars out of 10 terrible,silly,stupid attempt at a horror movie",negative
Color,Joss Whedon,703.0,173.0,0.0,19000.0,Robert Downey Jr.,26000.0,623279547.0,Action|Adventure|Sci-Fi,Chris Hemsworth,The Avengers ,995415,87697,Scarlett Johansson,3.0,alien invasion|assassin|battle|iron man|soldier,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722.0,English,USA,PG-13,220000000.0,2012.0,21000.0,8.1,1.85,123000,"Barbara Stanwyck gives this early Douglas Sirk-directed, Universal-produced soap just the kick that it needs. Not nearly as memorable as Sirk's later melodramas, it's easy to see by watching ""All I Desire"" where Sirk would be heading artistically in the next few years. Stanwyck is a showgirl who returns to her family in smalltown, U.S.A, after deserting them a decade earlier. Her family and community have mixed emotions in dealing with her shocking return. Some of the cinematography is amazing, and Stanwyck is tough-as-nails and really gives this film a shot of energy. Overall, a fairly good show.",positive
Color,Rob Marshall,448.0,136.0,252.0,1000.0,Sam Claflin,40000.0,241063875.0,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,370704,54083,Stephen Graham,4.0,blackbeard|captain|pirate|revenge|soldier,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484.0,English,USA,PG-13,250000000.0,2011.0,11000.0,6.7,2.35,58000,"WARNING:I advise anyone who has not seen the film yet to not read this comment.<br /><br />If you plan on watching this movie DON'T! I warn you... this movie is TERRIBLY boring and basically horrifying, not in the Horror movie kind of way, to watch. I mistook this Piranha movie for another Piranha movie and when I had noticed I made a mistake I decided to watch this one anyway. I wish I wouldn't have. This movie is so horrendous and so intolerable in every piece of material that I couldn't bare to let anyone say this movie was halfway decent. For one thing, this movie should be called A Boring Talk About Wilderness instead of Piranha. They only show piranhas ONCE! At the same time, the way this film sounds so poorly heard, I got sleepy only 20 minutes into the thing. At the end my mouth was hung wide open and I stared gloomily at the blank TV screen. It is a VERY poorly directed and badly filmed piece of junk that I was afraid I brain dysfunction after watching it...",negative
Color,Barry Sonnenfeld,451.0,106.0,188.0,718.0,Michael Stuhlbarg,10000.0,179020854.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,Men in Black 3 ,268154,12572,Nicole Scherzinger,1.0,alien|criminal|m.i.b.|maximum security prison|prison,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341.0,English,USA,PG-13,225000000.0,2012.0,816.0,6.8,1.85,40000,"Made with film stock left over from the production of Nana, 1927's Sur un Air de Charleston is described as a holiday film for all concerned, and that's the best way to view it. Jean Renoir seems never to have thought enough of it to even edit the footage together. The plot is a simple reversion of racial stereotypes  in 2028 a black explorer travels to a post-holocaust Paris where a white native girl teaches him the Charleston (naturally he assumes she's a savage whose dancing is a prelude to her eating him before giving in to the seductive beat of 'White Aborigine' music). There are plenty of surreal touches, be it the pet gorilla eating the flowers in Catherine Hessling's hair, the angels the girl telephones (Renoir and producer Pierre Braunberger among them) or the fact that black performer Johnny Huggins plays his part in minstrel blackface while Hessling's dancing ability is almost completely nonexistent, and there are some interesting occasional experiments with slow motion, but there's not really enough to sustain it for two reels. An additional air of surrealism is provided by the fact that this silent musical has absolutely no score at all on Lions Gate's new DVD",negative
Color,Peter Jackson,422.0,164.0,0.0,773.0,Adam Brown,5000.0,255108370.0,Adventure|Fantasy,Aidan Turner,The Hobbit: The Battle of the Five Armies ,354228,9152,James Nesbitt,0.0,army|elf|hobbit|middle earth|orc,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802.0,English,New Zealand,PG-13,250000000.0,2014.0,972.0,7.5,2.35,65000,"Sequel to ""The Kingdom"" is bloodier and even more twisted. I only saw half (I was exhausted and couldn't sit through all 5 1/2 hours) but I loved what I saw. Ghosts, blood, murder, poisoning, mutated babies, voodoo...this has it all! If you have a strong stomach and like weird movies this is for you.<br /><br />Also, you don't have to see Part 1 to understand this...you'll figure it out!<br /><br />Does anyone know if Kingdom 1 and 2 are available on DVD? Sitting through these marathon movies in a theatre is tiring. <br /><br />Sadly, there probably won't be a ""Kingdom 3""--Ernst-Hugo Jaregard (Sig) died a year after this was filmed. But you never know!",positive
Color,Marc Webb,599.0,153.0,464.0,963.0,Andrew Garfield,15000.0,262030663.0,Action|Adventure|Fantasy,Emma Stone,The Amazing Spider-Man ,451803,28489,Chris Zylka,0.0,lizard|outcast|spider|spider man|teenager,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225.0,English,USA,PG-13,230000000.0,2012.0,10000.0,7.0,2.35,56000,"Lost isn't the greatest TV show in history, but it's not far off. It doesn't have the plot or characterisation of The West Wing or possibly even early ER, however, it is arguably the most continuously gripping show I have every come across. I love the way I can't guess what's going to happen. I love the re-telling of the characters' back stories which often give rise to new dimensions for us to see them in. In some ways I want the show to last forever, but I think they can get 6-7 seasons out of it before they have to end it on a glorious high. The combination of the characters and their nationalities coupled with the show's fluidity for moving backwards and forwards thus extending dead characters ""life spans"" all adds to the overwhelming sense that this show is something very different from what we are used to. It's captivating, surprising and (here's a little suggestion for all of you conspiracy theorists) more than a little interactive- keep those internet discussions going- you're only adding to the plot...",positive
Color,Ridley Scott,343.0,156.0,0.0,738.0,William Hurt,891.0,105219735.0,Action|Adventure|Drama|History,Mark Addy,Robin Hood ,211765,3244,Scott Grimes,0.0,1190s|archer|england|king of england|robin hood,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546.0,English,USA,PG-13,200000000.0,2010.0,882.0,6.7,2.35,17000,"This in-name-only sequel to the classic ROADHOUSE has a DEA agent (John Schaech) coming to the rescue of his uncle (Will Patton) when the uncle is badly beaten up by a local drug gang, headed by that Wooden Indian of an actor Jake Busey. The gang wants to take over the poor guy's bar for nefarious reasons. Patrick Swayze is sorely missed here. Schaech is an indifferent actor and not convincing as an ass-kicking lawman. The fights here are intermittent and not nearly as powerful or vicious as the fights in ROADHOUSE. The finale is equally weak. Some good-looking women keep things afloat for a bit. There is a terrific fight between a Daisy Duke-type who turns out to be handy with both fists and weapons, and a nasty-looking babe of Busey's who is handy with sharp implements. There's also a scantily dressed gal at the beginning who is a fellow agent of Schaech's, but unfortunately she never reappears in the film. Too bad. She does a brief lap dance for Schaech that had my full attention. If nothing else, ROADHOUSE 2 kicks off with a strip club scene that comes darned close to what a real strip club looks like, a rare circumstance in any movie. The rest is snooze time.",negative
Color,Peter Jackson,509.0,186.0,0.0,773.0,Adam Brown,5000.0,258355354.0,Adventure|Fantasy,Aidan Turner,The Hobbit: The Desolation of Smaug ,483540,9152,James Nesbitt,6.0,dwarf|elf|lake town|mountain|sword and sorcery,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951.0,English,USA,PG-13,225000000.0,2013.0,972.0,7.9,2.35,83000,"This film is a spicy little piece of film-making from Sam Fuller which gives Richard Widmark the chance to show of some of his best, most edgy acting in the role of Skip McCoy, a small-time thief who stumbles onto a military secret while picking beautiful Candy's (Jean Peters) pocket on a crowded bus. It turns out Candy was doing a favor for her (ex?)boyfriend, who's working for the ""commies"".<br /><br />Superficially, there's a mystery here regarding Candy's motives and Skip spends much of the film determining her motives. Actually he seems to just initially assume that she's a ""commie"", going so far as to pour beer in her face in a callous gesture. But the real question is  what's going on with Skip? What are his motives, and why does Candy like him so much? Why do we (the audience) want to like him so much? Basically what the film-makers have done here is create a very striking ""male fatale"" in Widmark's character and his performance. Just as the male audience tends to ponder through the length of a film like ""The Big Sleep"" or ""The Glass Key"" along with the main characters whether the female character is trustworthy or just a pretty face, the film-makers have here created a similar quandary for female viewers. Widmark is handsome, and there's also a charm in his boyish insouciance  but the first two times he meets our leading lady, he robs her and then punches her in the face. Eventually the question becomes  would Skip sink so low as to sell out his country for a buck (his comments to the police, like ""you're waving a flag at ME?"" make us suspect he would) or is he simply out for revenge for the murder of his friend Moe (Thelma Ritter)? I'm not sure that the film gives us a conclusive answer either way.<br /><br />Thelma Ritter's character work deserves special mention  she has created a truly indelible character here. Fuller isn't afraid to give her plenty of ""business""  in the form of physical objects that she uses to draw the audience into her world, particularly her used ties. Another example of Fuller's ""business"" would be the scene with Victor Perry (an actor I've seen elsewhere used to less effect) using the chopsticks to intimidate Candy.<br /><br />The emphasis on Moe's relationship with Skip provides one of cinema's most revealing ""honor among thieves"" themes. In fact Skip has the same kind of ease and the same kind of casual relationship with the police, with the notable exception of Capt. Tiger (Murvyn Vye) who has a grudge against him. I loved the scene where he invited the cops in by name and offered them a beer when they came to pick him up at his shack. Those are the kind of details that make this film feel real  whether or not it really is ""realistic"" or whether that would matter are entirely separate questions.<br /><br />All told, I would say this is an essential crime film which displays a lot of the best and most durable attributes of the ""film noir"" school of film-making. A predictable plot is off-set by a host of colorful characters (uniformly well-performed), cheap sets are disguised by the film's unrelenting pace, and the final product feels a lot more substantial than it probably is. This is the best film I've seen so far by Sam Fuller and helps me to see better why he's regarded as a master director  here he accomplished some things that I think he tried but ultimately failed to do in other films like ""The Crimson Kimono"" and ""Shock Corridor"" as far as very emphatic acting styles and really gripping suspense. This is one of my favorite performances from Widmark that I've seen so far  and Widmark was a talent that I'm tempted to say (based on the few extraordinary films I've seen with him) was comparable to that of Alan Ladd or Humphrey Bogart, although arguably he didn't make as many classic films.",positive
Color,Chris Weitz,251.0,113.0,129.0,1000.0,Eva Green,16000.0,70083519.0,Adventure|Family|Fantasy,Christopher Lee,The Golden Compass ,149019,24106,Kristin Scott Thomas,2.0,children|epic|friend|girl|quest,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666.0,English,USA,PG-13,180000000.0,2007.0,6000.0,6.1,2.35,0,I have seen this movie and I did not care for this movie anyhow. I would not think about going to Paris because I do not like this country and its national capital. I do not like to learn french anyhow because I do not understand their language. Why would I go to France when I rather go to Germany or the United Kingdom? Germany and the United Kingdom are the nations I tolerate. Apparently the Olsen Twins do not understand the French language just like me. Therefore I will not bother the France trip no matter what. I might as well stick to the United Kingdom and meet single women and play video games if there is a video arcade. That is all.,negative
